8.28 , 2
10.24 , 4
12.27 , 2
14.3 , 4
16.32 , 0
16.77 , 0
18.35 , 1
18.81 , 1
20.34 , 0
20.84 , 1
22.34 , 3
24.35 , 0
24.81 , 1
25.57 , 1
26.38 , 0
26.88 , 0
27.81 , 0
28.34 , 1
28.82 , 1
30.37 , 2
32.4 , 0
32.83 , 1
33.67 , 1
34.39 , 0
34.85 , 0
35.85 , 1
36.38 , 1
36.87 , 4
38.7 , 0
40.4 , 0
40.88 , 0
41.69 , 0
42.42 , 0
42.88 , 0
43.87 , 1
44.39 , 0
44.9 , 1
46.43 , 0
48.42 , 1
48.91 , 0
49.75 , 1
50.48 , 0
50.96 , 1
51.9 , 0
52.45 , 1
52.92 , 0
54.45 , 1
56.47 , 0
56.92 , 1
57.72 , 0
58.51 , 1
58.94 , 0
59.9 , 1
60.44 , 0
60.96 , 1
62.5 , 0
63.02 , 1
63.48 , 1
64.49 , 0
64.95 , 1
66.5 , 0
66.98 , 1
67.94 , 1
68.54 , 0
68.99 , 0
70.52 , 2
72.52 , 1
73.01 , 1
74.55 , 1
75.0 , 0
76.51 , 0
76.97 , 0
78.59 , 4
80.56 , 4
82.55 , 4
84.56 , 4
86.55 , 0
88.65 , 1
89.08 , 1
89.91 , 1
90.63 , 1
91.13 , 1
92.0 , 1
92.62 , 0
93.13 , 0
94.76 , 0
96.56 , 1
97.11 , 0
97.95 , 1
98.71 , 0
99.14 , 1
100.12 , 0
100.66 , 1
101.15 , 1
102.74 , 0
104.66 , 0
105.12 , 1
105.95 , 1
106.68 , 0
107.14 , 1
108.08 , 1
108.68 , 0
109.14 , 0
110.64 , 0
112.64 , 0
113.17 , 1
113.98 , 1
114.7 , 0
115.21 , 1
116.12 , 0
116.72 , 1
117.15 , 0
118.71 , 0
119.18 , 1
120.69 , 0
121.17 , 0
121.95 , 1
122.72 , 0
123.2 , 0
124.16 , 1
124.69 , 1
125.19 , 0
126.78 , 0
128.74 , 1
129.24 , 0
130.3 , 1
130.9 , 0
131.38 , 1
132.32 , 1
132.88 , 0
133.33 , 1
134.87 , 0
135.35 , 0
136.92 , 1
137.35 , 0
138.15 , 1
138.91 , 0
139.44 , 1
140.31 , 0
140.89 , 0
141.35 , 1
142.89 , 0
144.89 , 1
145.43 , 0
146.19 , 0
146.98 , 1
147.48 , 0
148.32 , 3
148.92 , 3
149.44 , 1
150.94 , 0
151.44 , 0
152.95 , 1
153.45 , 1
154.2 , 1
155.03 , 1
155.53 , 0
156.5 , 2
157.1 , 2
157.6 , 1
159.07 , 1
159.63 , 0
161.13 , 0
161.63 , 1
162.56 , 0
163.24 , 2
163.74 , 2
164.76 , 0
165.26 , 1
165.76 , 0
167.32 , 1
167.82 , 0
169.8 , 1
171.37 , 1
173.33 , 0
175.35 , 1
176.44 , 0
