5.58 , 0
6.82 , 1
8.15 , 0
10.83 , 1
12.21 , 1
13.49 , 1
16.17 , 0
17.47 , 0
18.82 , 1
20.12 , 1
21.51 , 0
22.82 , 1
24.14 , 0
26.81 , 1
28.1 , 0
29.49 , 0
32.15 , 1
33.42 , 0
34.76 , 2
37.45 , 0
40.1 , 0
42.75 , 1
45.41 , 1
48.09 , 2
50.45 , 0
53.12 , 2
55.77 , 2
58.45 , 0
61.1 , 0
63.75 , 1
65.09 , 1
66.38 , 0
69.03 , 0
70.37 , 1
71.67 , 1
74.33 , 0
75.66 , 1
77.01 , 2
78.35 , 3
79.66 , 0
81.03 , 1
82.31 , 0
83.67 , 0
84.98 , 1
86.31 , 0
87.62 , 1
88.99 , 0
90.32 , 1
91.58 , 1
92.95 , 0
94.28 , 1
95.62 , 0
96.92 , 0
98.26 , 1
100.91 , 1
102.25 , 0
103.61 , 0
103.99 , 2
104.37 , 2
104.75 , 2
105.13 , 2
